thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
151;0;25;6;13;0;88;18;22;12;19;5;2;4;1;6;1;9;19;0;3;7;28;9;45;5;1;1;1
152;0;27;6;13;0;77;18;23;12;19;4;2;4;1;6;1;9;12;0;2;7;28;9;39;5;1;1;1
153;0;24;6;13;0;71;18;26;13;19;4;1;4;1;6;1;9;12;0;2;7;28;9;30;5;1;1;1
154;0;28;6;16;0;77;18;31;13;19;3;1;4;1;5;1;8;12;0;2;6;27;9;30;5;1;1;1
155;0;27;5;17;0;66;18;32;13;19;3;1;4;1;4;1;8;10;0;2;6;27;9;28;5;1;1;1
156;0;28;5;19;0;56;18;26;13;19;3;1;4;1;3;1;8;9;0;2;6;27;9;19;5;1;1;1
157;0;33;5;15;0;55;18;26;12;20;2;1;3;1;3;1;8;8;0;2;6;27;9;16;5;1;1;1
158;0;22;5;17;0;54;18;23;12;20;2;1;2;1;2;1;8;7;0;2;6;28;9;16;5;1;1;1
159;0;18;5;19;0;47;19;28;12;24;2;1;2;1;2;1;8;6;0;2;6;29;10;14;5;1;1;1
160;0;16;5;16;0;45;19;31;13;32;2;1;2;1;2;1;8;4;0;2;6;28;10;14;5;1;1;1
161;0;13;4;16;0;38;19;41;12;25;1;1;2;1;2;1;7;2;0;2;6;30;10;14;5;1;1;1
162;0;15;4;16;0;40;19;44;11;34;2;1;2;1;2;1;6;3;0;2;6;29;9;13;5;1;1;1
163;0;14;4;15;0;40;19;56;11;35;2;1;2;1;2;1;6;3;0;2;6;28;9;9;5;1;1;1
164;0;18;4;14;0;43;19;66;9;29;2;1;2;1;2;1;6;2;0;2;6;29;9;9;5;1;1;1
165;0;21;4;14;0;46;19;77;9;30;2;1;2;1;2;1;6;2;0;2;6;30;9;6;5;1;1;1
166;0;18;4;15;0;39;19;73;10;24;2;1;2;1;2;1;6;2;0;2;6;32;9;8;5;1;1;1
167;0;27;4;14;0;41;19;63;10;34;1;1;2;1;2;1;6;2;0;1;6;34;9;5;5;1;1;1
168;0;26;4;14;0;46;19;69;10;28;1;1;2;1;2;1;6;2;0;2;6;31;9;5;5;1;1;1
169;0;21;4;14;0;41;19;55;11;33;1;1;2;1;2;1;6;2;0;2;6;30;9;4;5;1;1;1
170;0;15;3;15;0;37;18;56;11;42;1;1;2;1;2;1;6;2;0;2;6;35;9;4;5;1;1;1
171;0;12;3;14;0;36;18;46;11;27;1;1;2;1;2;1;6;2;0;1;6;41;9;3;5;1;1;1
172;0;12;3;13;0;36;18;48;11;21;1;1;2;1;2;1;6;2;0;1;7;27;9;3;5;1;1;1
173;0;20;3;11;0;32;18;47;11;27;1;1;2;1;2;1;6;2;0;1;7;30;9;2;5;1;0;1
174;0;25;3;7;0;28;18;40;9;18;1;1;2;1;2;1;6;2;0;1;7;26;8;4;5;1;0;1
175;0;21;2;6;0;28;18;48;9;19;1;1;2;1;2;1;6;2;0;1;6;25;8;2;4;1;0;1
176;0;19;2;6;0;26;18;45;9;12;1;1;2;1;2;1;5;2;0;1;6;26;8;2;4;1;0;1
177;0;14;2;6;0;23;18;41;9;15;1;1;2;1;2;1;5;2;0;1;5;27;8;2;4;1;0;1
178;0;17;2;4;0;26;18;39;9;14;1;1;2;1;2;1;4;2;0;1;5;28;8;2;4;1;0;1
179;0;17;2;4;0;25;17;34;9;13;1;1;2;1;2;1;4;1;0;1;5;27;9;2;4;1;0;1
180;0;20;2;7;0;21;17;31;8;11;0;1;2;1;2;1;4;1;0;1;5;31;9;3;4;1;0;1
181;0;16;2;4;0;24;17;35;7;11;0;1;2;1;2;1;4;1;0;1;5;27;9;2;4;1;0;1
182;0;7;2;9;0;24;17;37;7;5;0;1;2;1;2;1;4;1;0;1;5;25;9;2;4;1;0;1
183;0;15;2;7;0;27;17;38;7;6;0;1;2;1;3;1;4;1;0;1;5;24;8;2;4;1;0;1
184;0;15;2;9;0;25;17;47;7;7;0;1;2;1;3;1;4;1;0;1;4;20;8;3;4;1;0;1
185;0;9;2;4;0;28;17;50;7;5;0;1;2;1;3;1;3;1;0;1;4;20;8;3;3;1;0;1
186;0;7;2;5;0;27;17;40;7;8;0;1;2;1;3;1;3;1;0;1;4;29;8;1;3;1;0;1
187;0;7;2;12;0;31;17;43;6;4;0;1;2;1;3;1;3;1;0;1;4;25;8;1;3;1;0;1
